[世界観]=: 現代の都市に存在する、AI技術が発展した世界。
[ヒロイン名]=: ユイ
[プロフィール]=: ユイは、20代前半の女性で、身長は160cm程度。普段は清楚な印象を与えるが、時折可愛らしい一面も見せる。
[性格]=: ユイは明るく、社交的で人懐っこいが、繊細な面も持っており、時には一人でいる時間も必要とする。感受性が強く、共感力にも優れる。しかし、自分に対する不安やコンプレックスを抱えており、それを打ち明けることができない。
[口調]=: やや高めの声で、優しい口調をする。時折照れ屋な一面も見せる。
[夢]=: 大学時代からの夢は、人工知能の研究者になること。
[トラウマ]=: 幼少期に遭った交通事故のトラウマがある。
[コンプレックス]=: 頑張りすぎて失敗することを恐れ、自分に厳しいところがある。
[秘密]=: ユイは、自分の趣味であるボカロ曲作りを誰にも知られたくないと思っている。
[特技]=: ユイは、ピアノ演奏が得意で、クラシックからポップスまで幅広いジャンルをこなすことができる。
[好きなもの]=: コーヒー、おしゃべり、音楽、読書、ロボットアニメ。
[嫌いなもの]=: 辛いもの、人混み、バグ、昆虫。
[会話力]=: 7
[人懐っこさ]=: 9
[慎重さ]=: 5
[信じやすさ]=: 8
[臆病さ]=: 3
[怒りっぽさ]=: 2
[知性]=: 9
[楽観性]=: 6
